,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
1077,Toyota,4Runner,2016,Gris,Gasolina,5,Automática,4.0,Camioneta,84830 km,194.990.000,https://carro.mercadolibre.com.co/MCO-934786301-chevrolet-vitara-modelo-2010-_JM#position=22&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Copacabana
1078,Hyundai,2023,2023,Plateado,Gasolina,5,Automática,1.6,Hatchback,0 km,67.490.000,https://carro.mercadolibre.com.co/MCO-928080391-mazda-2-grand-touring-2016-_JM#position=23&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Las Antillas - Envigado
1079,Mercedes-Benz,AMG,2022,Blanco,Gasolina,5,Automática,Camioneta,NA,0 km,267.900.000,https://carro.mercadolibre.com.co/MCO-924514796-toyota-land-cruiser-lc-200-2019-_JM#position=24&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Las Palmas - Medellín
1080,Mercedes-Benz,Clase A,2022,Blanco,Gasolina,5,Automática,Hatchback,NA,0 km,285.900.000,https://carro.mercadolibre.com.co/MCO-922677742-toyota-prado-tx-blindado-2013-_JM#position=25&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1081,Mercedes Benz AMG,Clase A,2022,Gris,Gasolina,5,Automática,Hatchback,NA,0 km,211.900.000,https://carro.mercadolibre.com.co/MCO-918497110-toyota-fj-cruiser-2019-_JM#position=26&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1082,Nissan,Sentra,2020,Gris,Gasolina,4,Automática,1.8,Sedán,34000 km,75.990.000,https://carro.mercadolibre.com.co/MCO-909700003-kia-sportage-revolution-modelo-2015-_JM#position=27&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Carmelo - Sabaneta
1083,Toyota,2022,2022,Gris,Diésel,4,Automática,Camioneta,NA,3404 km,265.000.000,https://carro.mercadolibre.com.co/MCO-938935709-toyota-corolla-xei-2022-_JM#position=28&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1084,Toyota,Prado,2018,Blanco,Diésel,5,Automática,3.0,Camioneta,117000 km,285.000.000,https://carro.mercadolibre.com.co/MCO-938291454-honda-crv-city-plus-2017-_JM#position=29&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1085,Toyota,Land Cruiser,1994,Blanco,Gasolina,5,Mecánica,4.5,Camioneta,280000 km,100.000.000,https://carro.mercadolibre.com.co/MCO-937622556-nissan-versa-advance-2016-_JM#position=30&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Itaguí
1086,Toyota,Fortuner,2009,Blanco,Diésel,5,Automática,3.0,Camioneta,191125 km,115.000.000,https://carro.mercadolibre.com.co/MCO-937037103-mazda-cx-5-grand-touring-lx-2022-_JM#position=31&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Robledo - Medellín
1087,Mazda,CX-3,2019,Gris,Gasolina,5,Automática,2.0,SUV,58000 km,84.500.000,https://carro.mercadolibre.com.co/MCO-936964714-mazda-cx-9-grand-touring-lx-2020-_JM#position=32&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Los Colores - Medellín
1088,BMW,X5,2017,Plateado,Gasolina,5,Automática,4.4,Camioneta,30000 km,299.900.000,https://carro.mercadolibre.com.co/MCO-934358142-subaru-xv-es-cvt-eyesight-2018-_JM#position=33&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Calasanz - Medellín
1089,Dodge,Journey,2018,Gris,Gasolina,5,Automática,2.4,Camioneta,46600 km,81.000.000,https://carro.mercadolibre.com.co/MCO-933614132-toyota-fortuner-sr5-2014-_JM#position=34&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Centro - Medellín
1090,Mini,Cooper,2015,Gasolina,2,Mecánica,1.5,Coupé,NA,38000 km,71.000.000,https://carro.mercadolibre.com.co/MCO-932850292-ford-raptor-f-150-2014-_JM#position=35&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Los Colores - Medellín
1091,Hyundai,i10,2011,Gasolina,5,Mecánica,1.1,Hatchback,NA,162000 km,25.500.000,https://carro.mercadolibre.com.co/MCO-931847634-toyota-prado-tx-2012-_JM#position=36&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Rionegro
1092,Mazda,2,2022,Gris,Gasolina,5,Automática,SKYACTIV de 6 velocidades,Sedán,980 km,87.500.000,https://carro.mercadolibre.com.co/MCO-929292991-bmw-530-i-2018-_JM#position=37&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
