,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
104,Mazda,3,2018,Gris,Gasolina,4,Mecánica,2.0,Sedán,36000 km,69.000.000,https://carro.mercadolibre.com.co/MCO-927451757-mazda-3-sedan-touring-mecanico-2018-_JM,Armenia - Quindio
105,Mazda,B2200,2001,Gasolina,2,Mecánica,2.2,Pick-Up,NA,1200 km,37.900.000,https://carro.mercadolibre.com.co/MCO-911482267-mazda-b2200-2001-22-b22cs9-4x2-_JM,Armenia - Quindio
106,Mazda,CX-5,2020,Gasolina,5,Automática,2.5,Camioneta,NA,23500 km,127.000.000,https://carro.mercadolibre.com.co/MCO-938807157-mazda-cx-5-2020-25-grand-touring-camioneta-_JM,Armenia - Quindio
107,Ford,Fiesta,2011,Rojo,Gasolina,5,Mecánica,1.6,Hatchback,128000 km,34.000.000,https://carro.mercadolibre.com.co/MCO-928307149-ford-fiesta-_JM,Armenia - Quindio
108,Fiat,Uno,2018,Gris,Gasolina,5,Mecánica,1.4,Hatchback,61000 km,35.800.000,https://carro.mercadolibre.com.co/MCO-934917952-fiat-uno-way-2018-_JM,"8:00 am , 9:00 pm"
109,Chevrolet,Optra,2006,Gasolina,4,Mecánica,1.4,Sedán,NA,188000 km,21.000.000,https://carro.mercadolibre.com.co/MCO-925174141-chevrolet-optra-2006-14-l-_JM,Armenia - Quindio
110,Renault,Symbol,2010,Gasolina,4,Mecánica,1.6,Sedán,NA,122000 km,24.000.000,https://carro.mercadolibre.com.co/MCO-914379870-renault-symbol-2010-16-confort-_JM,Armenia - Quindio
111,Nissan,X-Trail,2010,Plateado,Gasolina,5,Mecánica,2.5,Camioneta,151000 km,47.000.000,https://carro.mercadolibre.com.co/MCO-930475557-nissan-x-trail-_JM,Quimbaya - Quindio
112,Nissan,Sentra,2013,Plateado,Gasolina,4,Mecánica,1.6,Sedán,109 km,26.500.000,https://carro.mercadolibre.com.co/MCO-921586052-nissan-linea-sentra-b13-modelo-2013-_JM,Calarcá - Quindio
113,Chevrolet,Aveo,2009,Gasolina,5,Mecánica,1.6,Hatchback,NA,150000 km,22.600.000,https://carro.mercadolibre.com.co/MCO-932234813-chevrolet-aveo-2009-16-gti-limited-_JM,Armenia - Quindio
114,Lexus,LX,2016,Gasolina,5,Automática,5.7,Camioneta,NA,690000 km,560.000.000,https://carro.mercadolibre.com.co/MCO-934570161-lexus-lx-2016-57-570-_JM,Armenia - Quindio
115,Chevrolet,Onix,2018,Rojo,Gasolina,4,Automática,1.4,Sedán,51000 km,48.000.000,https://carro.mercadolibre.com.co/MCO-932883162-chevrolet-onix-ltz-2018-automatico-_JM,Armenia - Quindio
116,Chevrolet,Corsa,2005,Azul,Gasolina,5,Mecánica,1.4,Hatchback,178171 km,16.800.000,https://carro.mercadolibre.com.co/MCO-933123675-chevrolet-corsa-wind-14-_JM,10:00 - 20:30
117,Nissan,Versa,2016,Blanco,Gasolina,4,Automática,1.6,Sedán,127941 km,47.000.000,https://carro.mercadolibre.com.co/MCO-934378609-nissan-versa-2016-16-advance-_JM,Armenia - Quindio
118,Kia,Sportage,2019,Gasolina,5,Automática,2.0,Camioneta,NA,87200 km,113.000.000,https://carro.mercadolibre.com.co/MCO-934529879-kia-sportage-2019-20-zenith-aut-_JM,Armenia - Quindio
119,Dodge,Journey,2014,Gris,Gasolina,5,Automática,2.4,Camioneta,94331 km,60.000.000,https://carro.mercadolibre.com.co/MCO-939464430-dodge-journey-_JM,Lunes a Viernes de 9:00 a 6:00
120,Renault,Stepway,2015,Gris,Gasolina,5,Mecánica,1.6,Hatchback,71100 km,40.500.000,https://carro.mercadolibre.com.co/MCO-926718158-renault-stepway-2015-_JM,Todos Los Días Hasta 9pm
121,Kia,Sorento,2012,Gasolina,5,Mecánica,2.4,Camioneta,NA,126700 km,58.000.000,https://carro.mercadolibre.com.co/MCO-922840392-kia-sorento-2012-24-lx-_JM,Armenia - Quindio
122,BMW,Serie 2,2017,Azul,Gasolina,2,Automática,3.0,Coupé,36000 km,130.000.000,https://carro.mercadolibre.com.co/MCO-926719046-bmw-240-_JM,Armenia - Quindio
123,Renault,Stepway,2019,Gasolina,5,Automática,1.6,Hatchback,NA,65000 km,52.000.000,https://carro.mercadolibre.com.co/MCO-929470540-renault-stepway-2019-16-expression-zen-_JM,Armenia - Quindio
124,Nissan,March,2019,Gasolina,5,Automática,1.6,Hatchback,NA,74000 km,42.200.000,https://carro.mercadolibre.com.co/MCO-925150200-nissan-march-2019-16-active-_JM,Calarcá - Quindio
125,Nissan,March,2019,Gasolina,5,Automática,1.6,Hatchback,NA,74000 km,42.200.000,https://carro.mercadolibre.com.co/MCO-925150200-nissan-march-2019-16-active-_JM,Calarcá - Quindio
126,Kia,Rio,2015,Gasolina,4,Mecánica,1.2,Sedán,NA,79200 km,44.000.000,https://carro.mercadolibre.com.co/MCO-936082431-kia-rio-2015-125-_JM,Armenia - Quindio
127,Chevrolet,Optra,2013,Blanco,Gasolina,4,Mecánica,1.6,Sedán,110000 km,27.500.000,https://carro.mercadolibre.com.co/MCO-934396490-chevrolet-optra-16-_JM,Lunes a Sábado 08:00 a 18:00
128,Chana,STAR VAN,2008,Gasolina,2,Mecánica,1.0,Furgón,NA,883850 km,23.500.000,https://carro.mercadolibre.com.co/MCO-930984953-chana-star-van-2008-10-sc-6360h-cargo-_JM,Calarcá - Quindio
129,Daihatsu,Terios,2007,Gasolina,5,Mecánica,1.5,Camioneta,NA,237000 km,37.000.000,https://carro.mercadolibre.com.co/MCO-939488847-daihatsu-terios-2007-15-okii-_JM,Armenia - Quindio
130,Toyota,Land Cruiser,1993,Gasolina,5,Mecánica,4.5,Camioneta,NA,280000 km,56.800.000,https://carro.mercadolibre.com.co/MCO-931178531-toyota-land-cruiser-1993-45-fzj73-_JM,Armenia - Quindio
131,Suzuki,Ertiga,2016,Gasolina,5,Mecánica,1.4,Camioneta,NA,37000 km,52.000.000,https://carro.mercadolibre.com.co/MCO-934910185-suzuki-ertiga-2016-14-mpv-_JM,Armenia - Quindio
132,Mazda,CX-5,2022,Rojo,Gasolina,5,Automática,Skive Active,Station Wagon,21000 km,138.500.000,https://carro.mercadolibre.com.co/MCO-937702650-mazda-cx5-2022-_JM,Armenia - Quindio
133,BMW,Serie 5,2015,Gasolina,4,Automática,2.0,Sedán,NA,130000 km,83.000.000,https://carro.mercadolibre.com.co/MCO-932456285-bmw-serie-5-2015-20-520i-f10-_JM,Armenia - Quindio
134,Hyundai,TUCSON IX-35,2011,Gasolina,5,Mecánica,2.0,Camioneta,NA,168000 km,50.000.000,https://carro.mercadolibre.com.co/MCO-934763672-hyundai-tucson-ix-35-2011-20l-4x2-_JM,Armenia - Quindio
135,Kia,Picanto,2021,Rojo,Gasolina,5,Mecánica,1.2,Hatchback,27174 km,50.000.000,https://carro.mercadolibre.com.co/MCO-939695212-kia-picanto-zenit-model-2021-_JM,Calarcá - Quindio
136,Kia,Sportage,2019,Gasolina,5,Automática,2.0,Camioneta,NA,87000 km,115.500.000,https://carro.mercadolibre.com.co/MCO-937865758-kia-sportage-2019-20-zenith-aut-_JM,Armenia - Quindio
137,Mazda,2,2017,Gasolina,5,Mecánica,1.5,Hatchback,NA,70000 km,55.000.000,https://carro.mercadolibre.com.co/MCO-936198792-mazda-2-2017-_JM,Calarcá - Quindio
138,Nissan,Qashqai,2015,Gasolina,5,Mecánica,2.0,Camioneta,NA,98000 km,79.500.000,https://carro.mercadolibre.com.co/MCO-931440157-nissan-qashqai-2015-20l-4wd-2-4x4-_JM,Armenia - Quindio
139,Volkswagen,Jetta,2014,Rojo,Gasolina,4,Automática,2.0,Sedán,69100 km,37.500.000,https://carro.mercadolibre.com.co/MCO-939032527-volkswagen-jetta-2014-_JM,Armenia - Quindio
140,Toyota,Fortuner,2015,Gris,Gasolina,5,Mecánica,2.7,Camioneta,102000 km,110.000.000,https://carro.mercadolibre.com.co/MCO-937164799-toyota-fortuner-_JM,LUNES A VIERNES DE 8 A 5
141,Mazda,BT-50,2015,Rojo,Diésel,4,Automática,3.2,Pick-Up,148000 km,108.000.000,https://carro.mercadolibre.com.co/MCO-935276865-mazda-bt-50-2015-_JM,24/7
142,Renault,Sandero,2011,Dorado,Gasolina,5,Mecánica,1.6,Hatchback,88000 km,30.000.000,https://carro.mercadolibre.com.co/MCO-932066449-renault-_JM,Lunes a Sábado de 08:00 a 18:00 horas
143,Chevrolet,Sonic,2014,Gasolina,4,Mecánica,1.6,Sedán,NA,82000 km,34.990.000,https://carro.mercadolibre.com.co/MCO-932053621-chevrolet-sonic-2014-16-lt-4-p-_JM,Armenia - Quindio
144,Volkswagen,Jetta,2008,Gasolina,4,Mecánica,2.0,Sedán,NA,150000 km,29.000.000,https://carro.mercadolibre.com.co/MCO-930442209-volkswagen-jetta-2008-20-trendline-_JM,Armenia - Quindio
145,Chevrolet,Aveo,2007,Gasolina,4,Mecánica,1.4,Sedán,NA,173899 km,20.000.000,https://carro.mercadolibre.com.co/MCO-926285711-chevrolet-aveo-2007-14-sd-_JM,Armenia - Quindio
146,Mazda,2,2009,Azul,Gasolina,5,Mecánica,15000,Hatchback,120470 km,31.000.000,https://carro.mercadolibre.com.co/MCO-922800453-mazda-2-_JM,Armenia - Quindio
147,Chevrolet,Spark,2019,Gasolina,5,Mecánica,1.0,Hatchback,NA,13500 km,30.000.000,https://carro.mercadolibre.com.co/MCO-938832048-chevrolet-spark-2019-10-life-_JM,Quimbaya - Quindio
148,Kia,Rio,2015,Gasolina,4,Mecánica,1.5,Sedán,NA,400000 km,110.000.000,https://carro.mercadolibre.com.co/MCO-936966623-kia-rio-2015-15-stylus-_JM,Armenia - Quindio
149,Toyota,Prado,2016,Diésel,5,Mecánica,3.0,Camioneta,NA,160000 km,214.800.000,https://carro.mercadolibre.com.co/MCO-934899512-toyota-prado-2016-30-tx-l-fl-_JM,Armenia - Quindio
