,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
329,Chevrolet,N300,2015,Blanco,Gasolina,2,Mecánica,1.2,Furgón,126500 km,39.900.000,https://carro.mercadolibre.com.co/MCO-916377238-mitsubishi-montero-diesel-25-4x4-2018-_JM#position=42&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,30 de Agosto - Pereira
330,Chevrolet,Optra,2007,Plateado,Gasolina,5,Mecánica,1.8,Hatchback,127000 km,23.900.000,https://carro.mercadolibre.com.co/MCO-916376992-mercedes-benz-glc-250-4matic-20-aut-sec-awd-2019-851-_JM#position=43&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
331,Chevrolet,Captiva,2012,Gris,Gasolina,5,Automática,3.0,Camioneta,139758 km,41.900.000,https://carro.mercadolibre.com.co/MCO-913084345-nissan-march-2013-_JM#position=44&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Turin - Pereira
332,Mini,Cooper,2017,Plateado,Gasolina,5,Automática,1.5,Hatchback,50000 km,78.900.000,https://carro.mercadolibre.com.co/MCO-918503329-renault-new-koleos-zen-_JM#position=45&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,30 de Agosto - Pereira
333,Renault,Sandero,2017,Plateado,Gasolina,5,Mecánica,1.6,Hatchback,88000 km,41.900.000,https://carro.mercadolibre.com.co/MCO-873408113-toyota-4runner-2017-40-limited-fl-_JM#position=46&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Pereira
334,Ford,Ecosport 2,2014,Plateado,Gasolina,5,Mecánica,2.0,Camioneta,110000 km,55.900.000,https://carro.mercadolibre.com.co/MCO-930182268-kia-sportage-2017-20l-gasolina-4x2-_JM#position=47&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Pereira
335,Mercedes-Benz,Clase C,2015,Gris,Gasolina,5,Automática,2.0,Sedán,39900 km,105.000.000,https://carro.mercadolibre.com.co/MCO-936997657-suzuki-swift-12-2016-_JM#position=48&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Turin - Pereira
336,Chevrolet,Cruze,2012,Celeste,Gasolina,5,Mecánica,1.8,Sedán,151000 km,32.900.000,https://carro.mercadolibre.com.co/MCO-936671097-toyota-hilux-24-4x2-1998-_JM#position=1&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Turin - Pereira
337,Nissan,Frontier,2013,Blanco,Diésel,2,Mecánica,2.5,Pick-Up,182000 km,73.000.000,https://carro.mercadolibre.com.co/MCO-933275426-renault-clio-style-2017-_JM#position=2&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Turin - Pereira
338,Chevrolet,Tracker,2016,Blanco,Gasolina,5,Automática,1.8,Camioneta,92700 km,59.000.000,https://carro.mercadolibre.com.co/MCO-931949448-hyundai-i10-11l-1100cc-2012-_JM#position=3&search_layout=grid&type=item&tracking_id=b20dc903-bf85-467f-a7b8-e25c054ecbad,Dosquebradas
