,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
274,Renault,Megane,2005,Gasolina,4,Mecánica,1.6,Sedán,NA,145000 km,16.000.000,https://carro.mercadolibre.com.co/MCO-934408211-renault-megane-2005-16-unique-_JM,Manizales - Caldas
275,Kia,Picanto,2018,Gasolina,5,Mecánica,1.2,Hatchback,NA,44000 km,42.000.000,https://carro.mercadolibre.com.co/MCO-932842518-kia-picanto-2018-125-_JM,Manizales - Caldas
276,Hyundai,Accent,2011,Blanco,Gasolina,4,Mecánica,1.6,Sedán,144000 km,27.000.000,https://carro.mercadolibre.com.co/MCO-931893795-hyundai-accent-vision-2011-_JM,Chipre - Manizales - Caldas
277,Nissan,Frontier,2021,Diésel,2,Mecánica,2.5,Pick-Up,NA,40000 km,165.000.000,https://carro.mercadolibre.com.co/MCO-930827796-nissan-frontier-2021-25l-mecanica-diesel-_JM,Manizales - Caldas
278,Hyundai,Elantra,1994,Rojo,Gasolina,4,Mecánica,1.8,Sedán,200000 km,11.900.000,https://carro.mercadolibre.com.co/MCO-928923267-hyundai-elantra-modelo-94-_JM,Belén - Manizales - Caldas
279,Renault,Duster,2019,Blanco,Gasolina,5,Mecánica,2.0,Camioneta,79000 km,73.000.000,https://carro.mercadolibre.com.co/MCO-923423370-renault-duster-2019-_JM,Centro - Manizales - Caldas
280,Volkswagen,Escarabajo,1997,Marrón,Gasolina,2,Mecánica,1.600,Coupé,1500 km,28.500.000,https://carro.mercadolibre.com.co/MCO-923439894-volkswagen-escarabajo-original-aleman-1966-_JM,Alta Suiza - Manizales - Caldas
281,Hyundai,Accent,2015,Gasolina,5,Mecánica,1.6,Hatchback,NA,50000 km,41.000.000,https://carro.mercadolibre.com.co/MCO-922849616-hyundai-accent-2015-16l-5-p-_JM,Manizales - Caldas
282,Mazda,3,2013,Gasolina,5,Mecánica,2.0,Hatchback,NA,113000 km,45.500.000,https://carro.mercadolibre.com.co/MCO-936205357-mazda-3-2013-20-lxha3-high-sport-_JM,Manizales - Caldas
283,Chery,QQ,2010,Gasolina,3,Mecánica,1.1,Hatchback,NA,81000 km,15.000.000,https://carro.mercadolibre.com.co/MCO-932024810-chery-qq-2010-11l-_JM,Manizales - Caldas
284,Toyota,Prado,2012,Plateado,Diésel,4,Automática,3.0,Camioneta,152619 km,150.000.000,https://carro.mercadolibre.com.co/MCO-930673052-toyota-prado-txl-_JM,Altos de Capri - Manizales - Caldas
285,Daewoo,Racer,1994,Rojo,Gasolina,4,Mecánica,1.5,Sedán,243000 km,8.000.000,https://carro.mercadolibre.com.co/MCO-939401408-daewoo-racer-sti-_JM,Aguadas - Caldas
286,Mazda,626,1991,Azul,Gasolina,4,Mecánica,2.0,Sedán,250000 km,10.000.000,https://carro.mercadolibre.com.co/MCO-930183595-mazda-asahi-l-20-_JM,La Enea - Manizales - Caldas
287,Chevrolet,N300,2015,Gasolina,5,Mecánica,1.2,Camioneta,NA,160000 km,34.000.000,https://carro.mercadolibre.com.co/MCO-939007600-chevrolet-n300-2015-12-move-_JM,Anserma - Caldas
288,Hyundai,Eon,2016,Gasolina,5,Mecánica,0.8,Hatchback,NA,63000 km,29.000.000,https://carro.mercadolibre.com.co/MCO-936175204-hyundai-eon-2016-08-active-_JM,Manizales - Caldas
289,Renault,Logan,2016,Gasolina,4,Mecánica,1.6,Sedán,NA,49000 km,38.500.000,https://carro.mercadolibre.com.co/MCO-933617762-renault-logan-2016-16-expression-_JM,Manizales - Caldas
290,Nissan,Pathfinder,1998,Gasolina,5,Mecánica,3.3,Camioneta,NA,186000 km,24.900.000,https://carro.mercadolibre.com.co/MCO-932033974-nissan-pathfinder-1998-33-r50-ancha-_JM,Manizales - Caldas
291,Hyundai,Eon,2016,Gris,Gasolina,5,Mecánica,0.8,Hatchback,62800 km,30.000.000,https://carro.mercadolibre.com.co/MCO-928136442-hyundai-eon-modelo-2016-_JM,La Carola - Manizales - Caldas
292,Renault,Stepway,2018,Gris,Gasolina,5,Mecánica,1.6,Hatchback,51000 km,49.000.000,https://carro.mercadolibre.com.co/MCO-927412012-renault-stepway-_JM,La Rambla - Manizales - Caldas
293,Chevrolet,JX,2003,Plateado,Gasolina,3,Mecánica,Camioneta,NA,250000 km,33.000.000,https://carro.mercadolibre.com.co/MCO-924925714-chevrolet-vitara-jx-modelo-2003-_JM,Aranzazu - Caldas
294,Kia,Sportage,2011,Gasolina,5,Mecánica,2.0,Camioneta,NA,130000 km,60.000.000,https://carro.mercadolibre.com.co/MCO-924570093-kia-sportage-2011-20l-4x2-_JM,Chinchiná - Caldas
295,Toyota,Prado,2005,Gris,Gasolina,3,Mecánica,2.7,Camioneta,254991 km,55.000.000,https://carro.mercadolibre.com.co/MCO-924084285-toyota-_JM,Los Alcázares - Manizales - Caldas
296,Mitsubishi,Montero,1997,Rojo,Gasolina,5,Mecánica,2.6,Camioneta,300000 km,28.000.000,https://carro.mercadolibre.com.co/MCO-932036819-mitsubishi-montero-_JM,San Marcel - Manizales - Caldas
297,Peugeot,206,2003,Gasolina,5,Mecánica,2.0,Hatchback,NA,188000 km,29.000.000,https://carro.mercadolibre.com.co/MCO-937817042-peugeot-206-2003-20-s16-_JM,Manizales - Caldas
298,Renault,Stepway,2017,Gasolina,5,Mecánica,1.6,Hatchback,NA,97721 km,45.000.000,https://carro.mercadolibre.com.co/MCO-936552140-renault-stepway-2017-16-dynamique-mecanica-_JM,Manizales - Caldas
299,Chevrolet,Tracker,2015,Gasolina,5,Mecánica,1.8,Camioneta,NA,108000 km,50.000.000,https://carro.mercadolibre.com.co/MCO-935250018-chevrolet-tracker-2015-18-ls-_JM,La Dorada - Caldas
300,Toyota,Fortuner,2019,Blanco,Diésel,5,Automática,2400,Camioneta,38000 km,174.000.000,https://carro.mercadolibre.com.co/MCO-929769185-toyota-fortuner-_JM,24 HRS
301,Toyota,Land Cruiser,1998,Gasolina,2,Mecánica,4.5,Pick-Up,NA,250000 km,98.000.000,https://carro.mercadolibre.com.co/MCO-925932965-toyota-land-cruiser-1998-45-fzj75-macho-_JM,Manizales - Caldas
302,Nissan,Qashqai,2015,Gasolina,5,Mecánica,2.0,Camioneta,NA,108000 km,65.000.000,https://carro.mercadolibre.com.co/MCO-929353338-nissan-qashqai-2015-20-advance-_JM,Manizales - Caldas
303,Chevrolet,Sonic,2015,Rojo,Gasolina,4,Mecánica,1.6,Sedán,36500 km,42.000.000,https://carro.mercadolibre.com.co/MCO-930521873-chevrolet-sonic-2015-_JM,Palermo - Manizales - Caldas
304,Chevrolet,Vitara,2008,Gasolina,5,Mecánica,1.6,Camioneta,NA,192000 km,39.000.000,https://carro.mercadolibre.com.co/MCO-938919660-chevrolet-vitara-2008-16l-_JM,Anserma - Caldas
305,Renault,Sandero,2018,Gris,Gasolina,5,Automática,1.6,Hatchback,25000 km,45.000.000,https://carro.mercadolibre.com.co/MCO-938271329-renault-_JM,Guamal - Manizales - Caldas
306,Chevrolet,Captiva,2011,Gasolina,5,Mecánica,2.4,Camioneta,NA,100000 km,35.000.000,https://carro.mercadolibre.com.co/MCO-935119409-chevrolet-captiva-2011-24-sport-_JM,Manizales - Caldas
307,Daewoo,Tico,1996,Gasolina,5,Mecánica,0.8,Hatchback,NA,120 km,7.500.000,https://carro.mercadolibre.com.co/MCO-931501917-daewoo-tico-1996-08-se-_JM,Manizales - Caldas
308,Hyundai,I30,2010,Gasolina,5,Mecánica,2.0,Hatchback,NA,137000 km,32.000.000,https://carro.mercadolibre.com.co/MCO-931404002-hyundai-i30-2010-20-gls-_JM,Manizales - Caldas
309,Suzuki,Grand Vitara,2010,Blanco,Gasolina,5,Mecánica,2.7,Camioneta,138000 km,50.000.000,https://carro.mercadolibre.com.co/MCO-924103573-suzuki-grand-vitara-modelo-2010-_JM,Alhambra - Manizales - Caldas
310,Kia,Picanto,2015,Gasolina,5,Mecánica,1.0,Hatchback,NA,74000 km,33.000.000,https://carro.mercadolibre.com.co/MCO-923804310-kia-picanto-2015-10-ion-_JM,Manizales - Caldas
311,Chevrolet,Tracker,2015,Gasolina,5,Mecánica,1.8,Camioneta,NA,71518 km,47.000.000,https://carro.mercadolibre.com.co/MCO-923377286-chevrolet-tracker-2015-18-lt-4x2-_JM,Manizales - Caldas
312,Toyota,Hilux,2019,Blanco,Diésel,2,Automática,2.8,Pick-Up,35000 km,195.000.000,https://carro.mercadolibre.com.co/MCO-937683677-toyota-hilux-2019-28l-_JM,Manizales - Caldas
313,Toyota,4Runner,2019,Blanco,Gasolina,5,Automática,4.0,Camioneta,26331 km,230.000.000,https://carro.mercadolibre.com.co/MCO-939021102-toyota-4-runner-2019-_JM,Versalles - Manizales - Caldas
314,Suzuki,Celerio,2016,Gris,Gasolina,5,Mecánica,1.0,Hatchback,83900 km,32.500.000,https://carro.mercadolibre.com.co/MCO-939026875-suzuki-celerio-2016-mt-_JM,Chipre - Manizales - Caldas
315,Toyota,Prado,2014,Diésel,5,Mecánica,3.0,Camioneta,NA,132000 km,181.000.000,https://carro.mercadolibre.com.co/MCO-929529393-toyota-prado-2014-30-tx-_JM,Anserma - Caldas
316,Hyundai,Accent,2013,Gasolina,5,Mecánica,1.4,Hatchback,NA,140000 km,34.500.000,https://carro.mercadolibre.com.co/MCO-938225090-hyundai-accent-2013-14l-5-p-_JM,Manizales - Caldas
